material_family,scenario_family,scenario_id,variant,current_a,leg,signed_branch_current_a,temperature_minimum_k,temperature_maximum_k,c1_minimum,c1_maximum,c0_minimum,c0_maximum,integrating_factor_ratio,positive_c0_supremum,poincare_eta,coercivity_margin_lower_bound,liouville_potential_minimum,liouville_potential_maximum,liouville_poincare_eta,liouville_coercivity_margin_lower_bound,at_least_one_analytic_sufficient_condition_passes,homogeneous_shooting_determinant,homogeneous_shooting_determinant_absolute,baseline_energy_residual_fraction
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.15,p,-3.15,309.894134846523,385.30661881568597,-0.6336150602863821,-0.4881298251494163,1.5322808177383647,3.3286777381079102,1.8366606144641158,3.3286777381079102,0.6194423860749173,0.3805576139250827,1.712294261173942,3.2305175907562336,0.32731986607281494,0.6726801339271851,True,0.7881737245182315,0.7881737245182315,1.2775388037411334e-16
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.15,n,3.15,309.894134846523,373.0806020655708,-0.4971963650074174,-0.3789960554510403,0.814242930422819,1.641795120377482,1.5890359154575024,1.641795120377482,0.264333939444902,0.735666060555098,0.9104495456621632,1.6724978785257454,0.1694594646915274,0.8305405353084726,True,0.9641191140422899,0.9641191140422899,0.0
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.15,p,-3.15,309.894134846523,384.8524782062114,-0.5763133982059554,-0.428336968006121,1.5322808177383647,3.311828063236795,1.718055822928478,3.311828063236795,0.5765079589161544,0.42349204108384564,1.6830520420682737,3.23354470788194,0.3276265771630155,0.6723734228369844,True,0.7606453278007328,0.7606453278007328,2.585117336519789e-16
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.15,n,3.15,309.894134846523,373.4162879136766,-0.5650243977275387,-0.44048464347487964,0.814242930422819,1.6417918581986968,1.7105057920291356,1.6417918581986968,0.2845397210089983,0.7154602789910016,0.9328440143418117,1.6322559095861642,0.16538210076647084,0.8346178992335291,True,1.0043788471269655,1.0043788471269655,1.473271365161451e-16
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.1,p,-3.1,309.894134846523,383.4681650717432,-0.6213369504775874,-0.4803817326867271,1.4840230444409863,3.1580045768801566,1.8162837490351151,3.1580045768801566,0.5811613271685794,0.4188386728314206,1.654425336054996,3.063174015340778,0.3103644169367802,0.6896355830632198,True,0.807170915186332,0.807170915186332,0.0
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.1,n,3.1,309.894134846523,372.1653747093917,-0.4870826550172592,-0.3729802450470556,0.788599099154779,1.590087786638326,1.5748173656185234,1.590087786638326,0.25371815905605777,0.7462818409439422,0.880584022336595,1.6163776487013217,0.16377329657943676,0.8362267034205633,True,0.9674729375848827,0.9674729375848827,3.0400513535866584e-16
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.1,p,-3.1,309.894134846523,383.0335371200566,-0.5638397448236309,-0.4215379685139604,1.4840230444409863,3.1425303395887942,1.699507563171579,3.1425303395887942,0.541131524890483,0.458868475109517,1.6268471347759765,3.0672581313182268,0.31077822440174785,0.6892217755982522,True,0.7790692029229205,0.7790692029229205,0.0
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.1,n,3.1,309.894134846523,372.48894575263546,-0.55489296644046,-0.4334928237371832,0.788599099154779,1.5900866363147816,1.6939907017917615,1.5900866363147816,0.2729179273551504,0.7270820726448496,0.9019281626941528,1.5782633120141007,0.15991150687254496,0.840088493127455,True,1.0072752929097482,1.0072752929097482,7.519598856529392e-17
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.05,p,-3.05,309.894134846523,381.74360977962215,-0.6094867897919587,-0.47263364022403803,1.4365373955163652,2.997734856322989,1.7964460012805321,2.997734856322989,0.5456418085963308,0.4543581914036692,1.5978973414850048,2.9061492361393664,0.2944544804469164,0.7055455195530835,True,0.8249268358896913,0.8249268358896913,1.343311812064387e-16
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.05,n,3.05,309.894134846523,371.2923287712371,-0.4771521690818267,-0.3669644346430708,0.7633655691870269,1.5392087789335371,1.560899390390813,1.5392087789335371,0.2434292142911386,0.7565707857088614,0.8513031854042047,1.561389894568744,0.15820187224489013,0.8417981277551099,True,0.9710641399922122,0.9710641399922122,0.0
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.05,p,-3.05,309.894134846523,381.32761712431414,-0.5517932371609385,-0.4147389690217997,1.4365373955163652,2.983539180953288,1.6815246422608314,2.983539180953288,0.5083177045444609,0.4916822954555391,1.571879825871078,2.9111598625202357,0.2949621630426156,0.7050378369573844,True,0.7963351512017117,0.7963351512017117,1.358576718580453e-16
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.05,n,3.05,309.894134846523,371.6033614549642,-0.544871637145845,-0.4265010039994866,0.7633655691870269,1.5392067471887652,1.6777237631318784,1.5392067471887652,0.2616481503398945,0.7383518496601055,0.8716429301057181,1.5252993517311788,0.15454513572629353,0.8454548642737065,True,1.010276636404754,1.010276636404754,7.676705255230572e-17
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.0,p,-3.0,309.894134846523,380.12375587301665,-0.597994276063145,-0.4648855477613489,1.3898238709645034,2.8469757717752042,1.777080924770683,2.8469757717752042,0.5126149065050254,0.4873850934949746,1.542664530838802,2.7585420914574756,0.27949874983368145,0.7205012501663186,True,0.8415198766677334,0.8415198766677334,6.885430979419956e-17
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.0,n,3.0,309.894134846523,370.4614402214112,-0.4674053314844356,-0.360948624239086,0.7385423405195639,1.489154754987769,1.5472688422952903,1.489154754987769,0.23345644466703594,0.766543555332964,0.8226007123122754,1.5075235305730084,0.15274406848633318,0.8472559315136668,True,0.9748408614667132,0.9748408614667132,1.5839030559757682e-16
